time_ms,SO2_pptv,off_cts_norm,on_cts_norm,off_lsr_pwr_V,on_lsr_pwr_V
3734428746624.0,5153133.378114922,8782.300327060557,66039.3378616708,76416.5,89279.57142857143
3734428746724.0,5048537.386886637,9117.01381093813,65211.873665234096,75596.5,89937.71428571429
3734428746824.0,5170369.57092941,7814.238612446632,65262.7894005512,78214.0,90207.57142857143
3734428746924.0,5144699.445662733,8348.197675868778,65511.52484989916,76346.5,89598.28571428571
3734428747024.0,5174132.431821303,8325.026107562562,65815.3864611326,77176.5,88718.57142857143
3734428747124.0,5179252.311486896,8667.38312208496,66214.63102749492,76434.0,89148.57142857143
3734428747224.0,5350966.642475387,8181.599517771779,67636.78443416498,76666.0,89914.0
3734428747324.0,5180967.677678766,8765.350992486807,66331.65852225087,77447.0,89977.0
3734428747424.0,5079404.320971112,10299.502935175005,66737.32872374292,75140.0,90026.0
3734428747524.0,4956852.282963818,10157.261295933982,65233.39777330974,76894.0,89396.14285714286
3734428747624.0,5298403.730067367,8531.907903315938,67403.06045962001,75341.0,89101.14285714286
3734428747724.0,5187023.684780514,8990.632695450247,66624.22919301152,76845.0,89948.57142857143
3734428747824.0,5105140.055550007,9002.758648700059,65726.53704370014,77127.5,90295.85714285714
3734428747924.0,5176269.268001254,9263.316959205562,66777.41993699728,78310.0,90011.14285714286
3734428748024.0,5080048.904736009,9619.982797051649,66064.97062745175,74743.0,89560.57142857143
3734428748124.0,5092316.402487087,9525.30013926989,66106.59350023753,74813.0,88963.0
3734428748224.0,5143628.767328879,8506.96799950061,65658.39874759926,75599.5,89531.71428571429
3734428748324.0,5089754.169822171,8704.277483587735,65257.101592722975,79033.0,89670.28571428571
3734428748424.0,4962151.093458754,9030.075813753188,64165.0879632949,77199.5,89891.28571428571
3734428748524.0,5276561.278732629,8868.605812451413,67497.06446503616,77291.0,89347.0
3734428748624.0,5271522.111859971,8364.938562768235,66937.40647232348,77156.5,89004.28571428571
3734428748724.0,5295685.744336471,9366.164103884854,68207.11681873453,75586.0,89471.71428571429
3734428748824.0,5129242.869750625,8196.479515411647,65188.06695708527,78399.0,89750.71428571429
3734428748924.0,5030577.579147451,10151.390136840333,66046.696571812,77963.0,89673.71428571429
3734428749024.0,5129472.969923855,8056.522350358484,65050.666460623535,74839.0,89209.14285714286
3734428749124.0,5254456.535630148,8738.943006044867,67121.7934019354,77172.5,88734.42857142857
3734428749224.0,5376183.565557199,8087.210483944902,67822.58343458045,76967.0,88695.42857142857
3734428749324.0,5043609.186611646,9681.603494182506,65721.70556764524,77507.0,89391.57142857143
3734428749424.0,5162466.803179835,9180.865691430925,66541.60794898465,78000.0,89760.57142857143
3734428749524.0,5141678.958632176,8112.1389916084045,65241.90519863258,77200.0,88918.71428571429
3734428749624.0,5220080.516504395,8394.30177218962,66395.19640001623,76552.0,88693.57142857143
3734428749724.0,5164005.62158376,9297.307941259429,66675.14818107898,75341.5,88399.57142857143
3734428749824.0,5240427.644986081,8891.54707917001,67118.52091234869,76208.0,88785.71428571429
3734428749924.0,5181525.066239156,9005.029436954552,66577.53017294517,76465.5,89107.28571428571
3734428750024.0,5000461.583788786,9875.043488035706,65435.72775235556,74389.0,89240.42857142857
3734428750124.0,5255649.51498098,9142.940592202975,67539.04631421388,75653.0,88613.0
3734428750224.0,5252244.005616529,8673.763360562096,67032.03008963465,73685.0,88194.0
3734428750324.0,5179030.401326146,8359.452192977104,65904.23442993428,75710.5,88715.85714285714
3734428750424.0,4959889.059181946,9923.229672057048,65033.108107412,75551.5,89257.28571428571
3734428750524.0,5260112.360664109,7991.565370856155,66437.25826712404,75289.0,89345.85714285714
3734428750624.0,5251779.266060541,9134.104833989222,67487.20779021746,75568.0,88814.0
3734428750724.0,5189738.157430145,8138.837487643478,65802.59479242287,75522.5,88280.57142857143
3734428750824.0,5107262.4035673635,8484.199953995041,65231.559993632414,76763.0,88574.42857142857
3734428750924.0,5129276.37055297,8581.738946421967,65573.69861923275,76407.0,89234.28571428571
3734428751024.0,5209771.557746653,7817.135803159001,65703.48644478849,75102.0,89702.0
3734428751124.0,5147917.192938778,9001.986946679037,66201.06686822102,75530.5,89402.14285714286
3734428751224.0,5004794.65259774,8924.736018815373,64533.565492123606,76022.5,88877.71428571429
3734428751324.0,5257499.830589874,8411.435514817353,66828.10029914929,76042.0,88817.42857142857
3734428751424.0,5216197.22052717,8189.865692227677,66147.61258697402,76179.0,89580.85714285714
3734428751524.0,5248519.178157,8892.34006713312,67209.21982443312,76290.0,89778.57142857143
3734428751624.0,5190521.6093601165,8556.115396049758,66228.57772227329,76989.0,89439.0
3734428751724.0,5090063.659572496,8696.919983159067,65253.18286729791,75892.0,88491.28571428571
3734428751824.0,5201387.8679008875,9494.89340805756,67288.09194028964,76990.5,88411.28571428571
3734428751924.0,5236297.351276835,8825.085698871053,67006.16737972478,74939.0,89145.28571428571
3734428752024.0,5079337.42305469,8396.07039084044,64833.15286922589,78107.0,89366.57142857143
3734428752124.0,5160719.698438739,8830.105196735345,66171.435179388,76339.5,89530.57142857143
3734428752224.0,5328959.185818669,8435.870799057124,67646.52841926458,77899.5,89182.85714285714
3734428752324.0,5262842.084838338,8392.961125837908,66868.98429070834,77054.5,88684.57142857143
3734428752424.0,5116721.036181408,9050.261002817217,65902.71696038842,74426.0,88953.0
3734428752524.0,5274336.128969474,7899.375338924481,66503.11010525197,77705.0,89586.42857142857
3734428752624.0,5034086.554439331,8645.55340381131,64579.84845313722,75275.5,89871.0
3734428752724.0,5064098.735421945,8829.435415020616,65097.19914193112,76230.5,89689.85714285714
3734428752824.0,5099563.673845311,8248.203947068312,64910.02254534954,76495.5,88994.28571428571
3734428752924.0,5211291.331754966,9287.688887307419,67190.92590680704,77522.5,88916.71428571429
3734428753024.0,5196197.360335062,8190.340625618879,65925.86685156402,77510.5,89438.71428571429
3734428753124.0,5297131.536091201,8789.137634364331,67646.15470204435,76447.5,89495.85714285714
3734428753224.0,5154398.90794716,8673.706362828054,65944.80534001872,77590.0,89269.0
3734428753324.0,5187767.3775700275,8713.832254300158,66355.69200507825,76940.0,88659.57142857143
3734428753424.0,5071851.810643483,9206.45686857873,65560.36587572854,75667.5,88031.42857142857
3734428753524.0,5131196.155611758,8210.81268704805,65224.10330495648,76617.5,88638.0
3734428753624.0,5390327.139268329,8388.28242763156,68280.80619727967,76178.0,89567.57142857143
3734428753724.0,5242659.026844475,8139.197661934323,66390.96462687294,76388.5,89038.42857142857
3734428753824.0,5174809.308352016,9030.193868118402,66528.0750720297,75214.5,88435.71428571429
3734428753924.0,4954486.273634446,10096.124850965945,65145.97233579313,73843.5,88176.71428571429
3734428754024.0,5298658.385339492,8049.937689223254,66923.91974855095,76112.0,88543.85714285714
3734428754124.0,4961049.7616135795,9472.263112929795,64595.038241969574,76142.5,89145.71428571429
3734428754224.0,5057141.7730372455,8941.737203936504,65132.20134879479,76267.0,88797.28571428571
3734428754324.0,5143763.694467022,9263.176908407664,66416.10684693014,76661.5,88915.57142857143
3734428754424.0,5101921.606690151,9192.69133605551,65880.7091881683,76249.0,88009.57142857143
3734428754524.0,5210854.818838136,8968.871876809511,66867.25875278881,74640.5,88270.0
3734428754624.0,5243556.441987039,7487.359377325746,65749.09762162618,77165.5,89266.0
3734428754724.0,5058122.998208883,9273.025990681206,65474.392637446574,77126.5,89251.57142857143
3734428754824.0,5174874.978236048,7968.625095055508,65467.23596434493,75905.0,89225.42857142857
3734428754924.0,4921838.124319902,9739.147075613584,64426.237345834714,74764.5,88573.14285714286
3734428755024.0,5184065.466420249,9506.438183206325,67107.16558787576,74136.5,88245.57142857143
3734428755124.0,5162873.908963729,8667.830058342257,66033.0957134948,76005.5,88798.0
3734428755224.0,5321275.715509153,8315.76969856208,67441.05542644157,76115.5,89124.85714285714
3734428755324.0,5153790.0490986705,8602.815239312076,65867.1491181862,74126.5,88837.42857142857
3734428755424.0,5075130.229076978,9671.686131912647,66062.02201054574,75927.0,88653.28571428571
3734428755524.0,5308370.027556115,8033.655598930094,67015.54479399805,76281.0,87959.28571428571
3734428755624.0,5173419.589697831,8764.256961858253,66246.69684738971,74276.0,88297.71428571429
3734428755724.0,5238792.233073018,8664.086450087256,66872.88903978745,74967.5,89483.57142857143
3734428755824.0,5157306.726441134,8598.281494865128,65901.68956643328,76022.0,88920.42857142857
3734428755924.0,5156463.332989782,8539.109151058898,65833.1461842787,77116.0,88545.71428571429
